,Country,Year,Annual percentage change in coal consumption,"Annual change in coal consumption, measured in terawatt-hours","Per capita primary energy consumption from coal, measured in kilowatt-hours","Primary energy consumption from coal, measured in terawatt-hours","Per capita electricity generation from coal, measured in kilowatt-hours","Electricity generation from coal, measured in terawatt-hours	",Annual percentage change in coal production,"Annual change in coal production, measured in terawatt-hours","Per capita coal production, measured in kilowatt-hours","Coal production, measured in terawatt-hours",Share of electricity generation that comes from coal,Share of primary energy consumption that comes from coal
0,Africa,1985,3.181,24.268,1434.795,787.166,254.298,139.514,6.244,70.458,2185.296,1198.911,53.869,35.216
1,Turkey,1985,19.701,22.841,2824.541,138.781,305.854,15.028,20.715,21.226,2517.449,123.692,43.917,35.945
2,Germany,1985,-0.53,-9.246,22344.742,1735.999,4027.206,312.88,3.956,65.788,22249.711,1728.615,59.877,40.463
3,South Africa,1985,2.694,19.037,22203.141,725.574,4143.441,135.403,6.439,70.182,35502.133,1160.17,94.363,79.336
4,Thailand,1985,100.856,9.257,354.336,18.435,102.12,5.313,136.509,10.018,333.616,17.357,23.07,9.688
5,High-income countries,1985,4.153,493.923,12788.35,12387.566,2618.246,2536.19,4.319,485.316,12101.512,11722.254,38.569,24.708
6,World,1985,4.29,986.748,4924.703,23987.826,769.529,3748.311,5.067,1170.844,4983.97,24276.51,37.926,28.456
7,Vietnam,1985,-0.603,-0.198,535.505,32.611,37.835,2.304,12.0,3.908,598.914,36.472,45.453,52.896
8,Lower-middle-income countries,1985,116.084,1059.664,1100.05,1972.507,131.364,235.549,123.734,1140.627,1150.217,2062.461,34.889,28.042
9,North America,1985,2.065,105.534,13028.793,5217.145,3973.145,1590.974,-1.415,-83.652,14552.513,5827.291,48.94,21.218
10,Taiwan,1985,5.932,4.473,4138.186,79.881,759.484,14.661,-7.605,-1.216,765.617,14.779,26.389,20.104
11,India,1985,4.776,39.086,1093.117,857.397,147.941,116.039,3.269,26.645,1073.116,841.709,62.257,54.12
12,Iran,1985,-1.617,-0.185,237.494,11.245,1.859,0.088,6.551,0.544,186.883,8.848,0.226,1.746
13,Australia,1985,3.438,12.236,23502.719,368.139,5705.814,89.374,21.958,193.428,68588.367,1074.346,72.266,41.95
14,Mexico,1985,8.4,2.745,466.176,35.422,50.858,3.864,2.601,0.855,443.956,33.733,4.017,3.123
15,Spain,1985,-1.133,-2.396,5397.967,209.084,1409.748,54.605,-0.844,-1.279,3878.082,150.213,43.145,22.67
16,South Korea,1985,10.848,25.064,6276.699,256.117,605.012,24.687,5.489,6.002,2827.073,115.357,39.394,41.033
17,Argentina,1985,47.52,3.414,350.791,10.6,20.089,0.607,-21.415,-0.716,86.969,2.628,1.34,2.201
18,Italy,1985,-1.27,-2.256,3079.449,175.334,527.304,30.023,6.352,0.879,258.557,14.721,16.164,10.705
19,Oceania,1985,3.026,11.185,15140.722,380.805,3553.491,89.374,21.466,192.692,43352.492,1090.36,58.745,36.908
20,South America,1985,14.736,23.096,671.111,179.825,38.872,10.416,17.776,19.886,491.716,131.756,2.908,6.193
21,Canada,1985,-3.88,-12.581,12106.93,311.691,3085.865,79.445,6.498,25.203,16045.653,413.092,17.308,10.909
22,Upper-middle-income countries,1985,-6.993,-668.438,4843.305,8890.304,339.524,623.226,-5.736,-580.575,5197.72,9540.863,27.697,37.849
23,Poland,1985,2.325,26.388,31273.711,1161.314,3541.807,131.521,0.717,10.227,38679.09,1436.304,95.503,79.193
24,China,1985,9.174,397.999,4403.414,4736.265,242.328,260.645,10.53,483.226,4715.949,5072.424,63.465,77.008
25,European Union (27),1985,2.791,139.182,12399.219,5126.362,1916.851,792.508,2.846,123.133,10760.971,4449.041,39.192,30.538
26,United States,1985,2.389,113.541,20234.113,4866.301,6268.881,1507.665,-1.998,-109.71,22372.012,5380.465,56.74,24.109
27,Asia,1985,15.962,1100.198,2736.89,7993.004,224.219,654.826,20.864,1287.271,2553.427,7457.205,32.611,39.899
28,United Kingdom,1985,33.004,181.463,12962.891,731.283,3140.433,177.163,84.16,300.67,11662.664,657.932,59.433,30.588
29,Europe,1985,-2.862,-277.785,13313.26,9429.62,1782.673,1262.646,-3.562,-316.299,12089.824,8563.076,32.848,28.226
30,Brazil,1985,18.213,17.957,861.57,116.548,36.555,4.945,2.054,0.915,336.013,45.454,2.553,8.73
31,Japan,1985,4.367,34.846,6832.972,832.826,814.992,99.334,-1.622,-1.757,874.634,106.603,14.783,18.586
32,Indonesia,1985,237.079,7.362,63.443,10.467,31.591,5.212,36.054,3.632,83.077,13.706,31.84,2.534
33,World,1986,1.126,270.207,4890.176,24258.033,773.889,3838.927,2.372,575.785,5009.973,24852.295,37.718,28.147
34,Iran,1986,-1.509,-0.17,224.826,11.075,1.766,0.087,14.105,1.248,204.962,10.096,0.206,1.836
35,South Korea,1986,5.939,15.211,6575.235,271.328,603.729,24.913,7.586,8.75,3007.563,124.107,35.753,38.735
36,Japan,1986,-4.773,-39.751,6473.605,793.076,806.261,98.774,-2.259,-2.408,850.512,104.195,14.604,17.674
37,South America,1986,1.421,2.555,666.895,182.38,43.356,11.857,10.003,13.179,529.974,144.935,3.068,5.875
38,Italy,1986,-1.705,-2.989,3024.449,172.345,544.083,31.004,-45.19,-6.653,141.597,8.069,16.12,10.243
39,Asia,1986,4.119,329.271,2792.38,8322.275,243.077,724.456,3.317,247.363,2585.12,7704.567,34.14,39.882
40,Vietnam,1986,10.2,3.326,576.89,35.937,42.653,2.657,8.929,3.256,637.757,39.728,48.073,53.772
41,Spain,1986,3.627,7.583,5576.203,216.667,1410.555,54.808,2.462,3.698,3961.111,153.911,42.64,23.008
42,Upper-middle-income countries,1986,3.795,337.431,4940.457,9227.734,364.359,680.547,3.076,293.438,5265.208,9834.301,28.656,37.968
43,Canada,1986,-7.317,-22.807,11078.714,288.883,2746.907,71.627,-7.062,-29.171,14723.461,383.922,15.286,10.014
44,China,1986,4.543,215.159,4521.79,4951.424,273.613,299.61,2.488,126.186,4747.528,5198.61,66.65,76.836
45,United States,1986,-1.247,-60.702,19795.424,4805.599,6138.252,1490.141,0.954,51.312,22374.801,5431.777,55.683,23.589
46,United Kingdom,1986,7.998,58.487,13972.665,789.77,3562.492,201.361,15.944,104.903,13496.128,762.835,66.882,32.143
47,Brazil,1986,1.239,1.444,854.344,117.993,44.778,6.184,-5.175,-2.352,312.085,43.102,3.06,8.298
48,Europe,1986,-0.11,-10.405,13245.336,9419.215,1827.718,1299.753,2.229,190.843,12309.795,8753.919,32.957,27.706
49,Ukraine,1986,-0.722,-7.129,19201.887,980.784,2310.533,118.016,2.422,26.258,21736.477,1110.244,43.277,35.116
50,European Union (27),1986,-2.525,-129.442,12051.223,4996.92,1913.904,793.581,-0.371,-16.503,10690.085,4432.538,38.238,29.343
51,Turkey,1986,10.048,13.944,3046.67,152.725,387.749,19.437,6.816,8.431,2635.683,132.123,48.967,36.302
52,Germany,1986,-5.508,-95.622,21082.869,1640.377,4052.534,315.312,-3.446,-59.566,21451.385,1669.049,60.225,38.555
53,Thailand,1986,-1.887,-0.348,341.394,18.087,104.592,5.541,1.821,0.316,333.579,17.673,22.462,8.929
54,High-income countries,1986,-1.209,-149.775,12543.848,12237.791,2614.213,2550.429,1.435,168.25,12187.875,11890.504,38.132,24.019
55,Taiwan,1986,21.74,17.366,4971.714,97.248,1047.137,20.482,-7.15,-1.057,701.545,13.722,32.859,22.489
56,India,1986,7.446,63.843,1148.714,921.24,161.978,129.902,7.57,63.717,1128.995,905.426,64.093,54.332
57,Indonesia,1986,60.667,6.35,99.879,16.817,31.769,5.349,29.5,4.043,105.417,17.75,29.047,3.813
58,Kazakhstan,1986,5.066,22.469,29393.906,465.968,3934.792,62.376,5.046,33.613,44136.301,699.672,73.303,57.227
59,Australia,1986,2.539,9.347,23715.045,377.486,5816.65,92.587,6.377,68.514,71798.57,1142.859,71.481,42.182
60,Poland,1986,2.557,29.691,31879.559,1191.005,3594.291,134.281,1.684,24.183,39092.77,1460.487,95.714,78.992
61,North America,1986,-1.546,-80.654,12660.75,5136.491,3865.216,1568.126,0.428,24.943,14424.959,5852.234,47.734,20.739
62,Lower-middle-income countries,1986,3.601,71.028,1112.71,2043.535,139.399,256.011,5.273,108.746,1182.227,2171.207,36.177,28.433
63,South Africa,1986,1.391,10.092,21962.816,735.666,4059.833,135.988,1.986,23.04,35323.949,1183.209,91.734,78.959
64,Mexico,1986,10.264,3.636,503.324,39.057,81.925,6.357,8.306,2.802,470.821,36.535,6.383,3.549
65,Africa,1986,2.311,18.19,1427.108,805.356,251.766,142.078,2.551,30.581,2178.685,1229.491,52.6,35.239
66,Russia,1986,2.716,62.576,16434.287,2366.461,1000.302,144.039,3.427,74.057,15521.174,2234.977,14.384,24.335
67,Argentina,1986,14.243,1.51,394.455,12.109,32.998,1.013,-9.0,-0.237,77.897,2.391,2.066,2.38
68,Oceania,1986,2.951,11.238,15330.552,392.043,3620.547,92.587,6.346,69.198,45343.664,1159.558,58.278,36.942
69,Turkey,1987,5.574,8.513,3155.291,161.238,345.463,17.653,7.47,9.869,2778.656,141.992,39.802,33.62
70,Iran,1987,-1.633,-0.181,212.803,10.894,1.66,0.085,-1.743,-0.176,193.783,9.92,0.189,1.684
71,Vietnam,1987,11.489,4.129,628.95,40.065,48.115,3.065,3.279,1.303,644.107,41.031,50.653,53.244
72,South Korea,1987,1.324,3.593,6594.94,274.92,563.276,23.481,0.087,0.107,2979.735,124.215,29.259,35.406
73,Oceania,1987,3.435,13.468,15595.543,405.511,3859.283,100.348,4.194,48.634,46465.859,1208.192,60.608,37.236
74,India,1987,9.812,90.39,1234.173,1011.63,186.414,152.8,9.615,87.058,1210.816,992.484,68.315,56.113
75,European Union (27),1987,0.94,46.956,12128.896,5043.876,1923.827,800.035,-1.637,-72.54,10484.39,4359.999,37.255,29.015
76,Europe,1987,0.898,84.623,13310.647,9503.838,1854.183,1323.892,-1.076,-94.189,12128.428,8659.729,32.414,27.341
77,Australia,1987,4.205,15.875,24306.818,393.361,6200.767,100.348,4.446,50.808,73759.867,1193.668,73.886,42.702
78,Germany,1987,-0.411,-6.745,20939.764,1633.631,3954.061,308.479,-3.174,-52.983,20714.617,1616.066,57.937,38.07
79,Thailand,1987,44.381,8.027,484.084,26.114,124.162,6.698,27.67,4.89,418.255,22.563,23.441,11.294
80,Indonesia,1987,56.777,9.548,153.551,26.365,36.011,6.183,16.988,3.015,120.935,20.765,29.841,5.664
81,Argentina,1987,10.986,1.33,430.974,13.44,32.58,1.016,2.473,0.059,78.581,2.45,1.95,2.527
82,High-income countries,1987,2.757,337.42,12798.709,12575.211,2722.255,2674.718,1.099,130.645,12234.8,12021.148,38.324,24.002
83,Spain,1987,-2.984,-6.466,5396.056,210.201,1404.819,54.724,-13.148,-20.236,3431.575,133.675,41.25,21.529
84,North America,1987,4.483,230.263,13057.05,5366.754,4052.101,1665.509,3.13,183.158,14683.813,6035.392,48.728,20.972
85,Taiwan,1987,8.193,7.968,5312.092,105.215,1144.139,22.662,-13.089,-1.796,602.131,11.926,32.758,22.477
86,Russia,1987,1.526,36.103,16565.65,2402.564,1031.444,149.593,0.811,18.115,15535.041,2253.092,14.284,23.924
87,South Africa,1987,1.755,12.907,21825.732,748.573,4162.754,142.773,-0.322,-3.807,34387.176,1179.402,93.7,79.093
88,Malaysia,1987,37.975,1.047,230.178,3.803,0.0,0.0,306.296,0.413,33.162,0.548,0.0,1.955
89,Italy,1987,-0.736,-1.268,3000.949,171.077,579.483,33.035,-6.172,-0.498,132.803,7.571,16.405,9.875
90,Kazakhstan,1987,3.904,18.189,30185.75,484.157,4007.419,64.276,3.3,23.088,45061.922,722.76,72.636,58.15
91,Lower-middle-income countries,1987,4.864,99.401,1139.647,2142.936,149.601,281.303,4.017,87.212,1201.063,2258.419,37.238,28.478
92,South America,1987,9.477,17.285,715.687,199.665,39.501,11.02,21.191,30.714,629.604,175.649,2.719,6.191
93,Upper-middle-income countries,1987,5.766,532.05,5132.376,9759.784,386.301,734.594,2.997,294.778,5326.577,10129.079,29.335,38.357
94,World,1987,3.934,954.393,4990.071,25212.426,803.146,4057.908,1.887,468.971,5011.613,25321.266,38.038,28.268
95,Africa,1987,2.851,22.964,1427.093,828.32,262.269,152.227,0.104,1.284,2120.474,1230.775,54.317,35.124
96,Canada,1987,7.478,21.601,11746.139,310.484,3186.863,84.238,0.855,3.283,14648.584,387.204,16.97,10.427
97,Asia,1987,7.039,585.769,2928.271,8908.044,264.401,804.33,3.884,299.215,2631.021,8003.783,34.943,40.384
98,Brazil,1987,4.714,5.562,876.949,123.555,38.398,5.41,-8.902,-3.837,278.689,39.265,2.661,8.439
99,United States,1987,4.334,208.269,20460.357,5013.868,6422.936,1573.958,3.238,175.859,22883.381,5607.636,56.776,23.812
100,Poland,1987,3.605,42.938,32866.293,1233.943,3717.928,139.587,1.09,15.92,39324.375,1476.407,95.717,79.27
101,China,1987,8.499,420.818,4813.425,5372.242,304.51,339.862,3.814,198.292,4835.52,5396.901,68.346,77.296
102,Mexico,1987,-3.289,-1.285,476.929,37.773,92.328,7.312,10.992,4.016,512.012,40.551,6.888,3.322
